1-1-02-016,653760,0,BT   N-204 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21519605,BT ,204,09/11/2021,09/11/2021,BT ,204,,0,653760,0,0,0,0,0,0,0,653760,S
3-1-01-030,0,653760,BT   N-204 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,661000,0,BT   N-206 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21684101,BT ,206,09/11/2021,09/11/2021,BT ,206,,0,661000,0,0,0,0,0,0,0,661000,S
3-1-01-030,0,661000,BT   N-206 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,272400,0,BT   N-207 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21182632,BT ,207,09/11/2021,09/11/2021,BT ,207,,0,272400,0,0,0,0,0,0,0,272400,S
3-1-01-030,0,272400,BT   N-207 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,653760,0,BT   N-208 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21592905,BT ,208,09/11/2021,09/11/2021,BT ,208,,0,653760,0,0,0,0,0,0,0,653760,S
3-1-01-030,0,653760,BT   N-208 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,681000,0,BT   N-209 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21556915,BT ,209,09/11/2021,09/11/2021,BT ,209,,0,681000,0,0,0,0,0,0,0,681000,S
3-1-01-030,0,681000,BT   N-209 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,0,1,,,,,,0,V-E-2212,1,E2-02-03,,0,,,0,09/11/2021,,,0,,0,0,0,0,0,0,0,0,0,0,S
1-1-02-016,681000,0,BT   N-210 VDE COLEGIO CUMBRES FEMENINO FULL SAN PEDRO 2021,2,1,0,,,,,,0,,0,,,0,21640998,BT ,210,09/11/2021,09/11/2021,BT ,210,,0,681000,0,0,0,0,0,0,0,681000,S
